customer_state,review_score,delivery_time_accuracy,delay_rate,seller_count
AC,4.0875,-20.725,3.75,0.0
AL,3.8477157360406093,-8.817258883248732,20.812182741116757,0.0
AM,4.243055555555555,-19.59027777777778,2.7777777777777777,3.0
AP,4.242424242424242,-19.727272727272727,3.0303030303030303,0.0
BA,3.929389903995045,-10.89656240322081,11.892226695571384,547.0
CE,3.9395129615082483,-10.854673998428908,13.66849960722702,85.0
DF,4.1352657004830915,-12.03623188405797,5.700483091787439,802.0
ES,4.079228034535297,-10.68257998984256,10.411376333164043,304.0
GO,4.104830421377184,-12.246145940390544,6.3720452209660845,450.0
MA,3.8342696629213484,-9.650280898876405,17.134831460674157,384.0
MG,4.192290651307045,-13.265485157288436,4.474966770048737,7597.0
MS,4.161659513590844,-11.025751072961373,9.72818311874106,46.0
MT,4.145620022753128,-14.45164960182025,5.802047781569966,134.0
PA,3.909967845659164,-14.190782422293676,10.718113612004288,8.0
PB,4.076171875,-13.447265625,10.15625,32.0
PE,4.082963901203294,-13.360354654844839,9.436352121595947,401.0
PI,3.9936305732484074,-11.295116772823778,13.800424628450106,11.0
PR,4.238775510204082,-13.345102040816327,3.9591836734693886,7378.0
RJ,3.965277209073786,-11.82048972238146,11.92367537466219,4155.0
RN,4.148619957537155,-13.683651804670912,9.129511677282377,51.0
RO,4.1652892561983474,-20.09090909090909,2.8925619834710745,13.0
RR,3.902439024390244,-17.29268292682927,12.195121951219512,0.0
RS,4.1853173113030415,-13.9209538114908,6.027037176117161,1932.0
SC,4.133560670645069,-11.570332480818415,8.07047456663825,3533.0
SE,3.907185628742515,-10.068862275449101,14.970059880239518,7.0
SP,4.2464361992748225,-11.094297918839716,4.435503899071177,67951.0
TO,4.153846153846154,-12.106227106227106,9.89010989010989,0.0
